code,description,last_updated
100392-0,Duck meat IgG Ab [Units/volume] in Serum,09-06-2025
100393-8,"Allergen Mushroom mix 2 (Xerocomus, Boletus) IgG Ab [Units/volume] in Serum",09-06-2025
100394-6,Astacoidea IgG Ab [Units/volume] in Serum,09-06-2025
100395-3,Carob IgG Ab [Units/volume] in Serum,09-06-2025
10039-6,S wave amplitude in lead III,09-06-2025
100396-1,Rapeseed IgG Ab [Units/volume] in Serum,09-06-2025
100397-9,Goat Meat IgG Ab [Units/volume] in Serum,09-06-2025
100398-7,Goose meat IgG Ab [Units/volume] in Serum,09-06-2025
100399-5,Ostrich meat IgG Ab [Units/volume] in Serum,09-06-2025
100400-1,Quail meat IgG Ab [Units/volume] in Serum,09-06-2025
100401-9,Rabbit meat IgG Ab [Units/volume] in Serum,09-06-2025
100402-7,Venison meat IgG Ab [Units/volume] in Serum,09-06-2025
100403-5,Guineafowl IgG Ab [Units/volume] in Serum,09-06-2025
10040-4,S wave amplitude in lead V1,09-06-2025
100404-3,Horse meat IgG Ab [Units/volume] in Serum,09-06-2025
100405-0,Kefir IgG Ab [Units/volume] in Serum,09-06-2025
100406-8,Butter IgG Ab [Units/volume] in Serum,09-06-2025
100407-6,Camembert cheese IgG Ab [Units/volume] in Serum,09-06-2025
100408-4,Emmental cheese IgG Ab [Units/volume] in Serum,09-06-2025
100409-2,Processed cheese IgG Ab [Units/volume] in Serum,09-06-2025
1004-1,Direct antiglobulin test.complement specific reagent [Presence] on Red Blood Cells,09-06-2025
100410-0,Curd cheese IgG Ab [Units/volume] in Serum,09-06-2025
100411-8,Sugar Beet IgG Ab [Units/volume] in Serum,09-06-2025
10041-2,S wave amplitude in lead V2,09-06-2025
100412-6,Chinese cabbage IgG Ab [Units/volume] in Serum,09-06-2025
100413-4,Fennel Fresh IgG Ab [Units/volume] in Serum,09-06-2025
100414-2,Gourd IgG Ab [Units/volume] in Serum,09-06-2025
100415-9,Kale IgG Ab [Units/volume] in Serum,09-06-2025
100416-7,Savoy cabbage IgG Ab [Units/volume] in Serum,09-06-2025
100417-5,Vitis sp leaf IgG Ab [Units/volume] in Serum,09-06-2025
100418-3,Liquorice IgG Ab [Units/volume] in Serum,09-06-2025
100419-1,Snow pea IgG Ab [Units/volume] in Serum,09-06-2025
10042-0,S wave amplitude in lead V3,09-06-2025
100420-9,Fava bean IgG Ab [Units/volume] in Serum,09-06-2025
100421-7,Chickpea IgG Ab [Units/volume] in Serum,09-06-2025
100422-5,Common Chicory IgG Ab [Units/volume] in Serum,09-06-2025
100423-3,Allergy Mushroom Mix 1 (Button + oyster + Shiitaki + chanterelle mushroom) IgG Ab [Units/volume] in Serum,09-06-2025
100424-1,8(9)-Cholestenol [Mass/volume] in Serum or Plasma,09-06-2025
100425-8,DiHydro T-Mas [Mass/volume] in Serum or Plasma,09-06-2025
100426-6,Squalene [Mass/volume] in Serum or Plasma,09-06-2025
100427-4,Stigmasterol [Mass/volume] in Serum or Plasma,09-06-2025
100428-2,Carnitine free and total and acylcarnitine panel - Urine,09-06-2025
100429-0,LRBA deficiency panel - Blood,09-06-2025
100430-8,Cells.LRBA+/Cells.CD3+CD14-CD45+ in Blood by Flow cytometry (FC),09-06-2025
100431-6,Cells.CD3+CD14-CD45+.LRBA mean fluorescence intensity in Blood by Flow cytometry (FC),09-06-2025
100432-4,Cells.LRBA+/Cells.CD3-CD14-CD19+CD45+ in Blood by Flow cytometry (FC),09-06-2025
100433-2,Cells.CD3-CD14-CD19+CD45+.LRBA mean fluorescence intensity in Blood by Flow cytometry (FC),09-06-2025
100434-0,Orthopoxvirus.non-variola DNA [Presence] in Specimen by NAA with probe detection,09-06-2025
100435-7,Glial fibrillary acidic protein [Mass/volume] in Serum by Immunoassay,09-06-2025
100436-5,Ubiquitin carboxyl-terminal hydrolase-L1 [Mass/volume] in Serum by Immunoassay,09-06-2025
100437-3,Norsufentanil [Mass/volume] in Urine by Confirmatory method,09-06-2025
10043-8,S wave amplitude in lead V4,09-06-2025
100438-1,Adolescent medicine Outpatient Progress note,09-06-2025
100439-9,Allergy and Immunology Outpatient Progress note,09-06-2025
100440-7,Allergy Outpatient Progress note,09-06-2025
100441-5,Attending Outpatient Progress note,09-06-2025
100442-3,Audiology Outpatient Progress note,09-06-2025
100443-1,Bariatric surgery Outpatient Progress note,09-06-2025
100444-9,Blood banking and transfusion medicine Outpatient Progress note,09-06-2025
100445-6,Bone Marrow Transplant Outpatient Progress note,09-06-2025
10044-6,S wave amplitude in lead V5,09-06-2025
100446-4,Breastfeeding Outpatient Progress note,09-06-2025
100447-2,Burn management Outpatient Progress note,09-06-2025
100448-0,Cardiac surgery Outpatient Progress note,09-06-2025
100449-8,Cardiopulmonary Outpatient Progress note,09-06-2025
100450-6,Child and adolescent psychiatry Outpatient Progress note,09-06-2025
100451-4,Chiropractic medicine Outpatient Progress note,09-06-2025
100452-2,Clinical cardiac electrophysiology Outpatient Progress note,09-06-2025
10045-3,S wave amplitude in lead V6,09-06-2025
100453-0,Clinical genetics Outpatient Progress note,09-06-2025
100454-8,Clinical neurophysiology Outpatient Progress note,09-06-2025
100455-5,Clinical pathology Outpatient Progress note,09-06-2025
100456-3,Colon and rectal surgery Outpatient Progress note,09-06-2025
100457-1,Consultant Outpatient Progress note,09-06-2025
100458-9,Outpatient COVID-19 Intubation Progress note,09-06-2025
100459-7,Outpatient COVID-19 Progress note,09-06-2025
100460-5,Dermatology Outpatient Progress note,09-06-2025
10046-1,S wave duration in lead AVF,09-06-2025
100461-3,Developmental-behavioral pediatrics Outpatient Progress note,09-06-2025
100462-1,Dialysis and Therapeutic apheresis Outpatient Progress note,09-06-2025
100463-9,Eating disorders Outpatient Progress note,09-06-2025
100464-7,Endocrinology Outpatient Progress note,09-06-2025
100465-4,Family medicine Outpatient Progress note,09-06-2025
100466-2,Gastroenterology Outpatient Progress note,09-06-2025
100467-0,Geriatric medicine Outpatient Progress note,09-06-2025
100468-8,Gynecologic oncology Outpatient Progress note,09-06-2025
100469-6,Gynecology Outpatient Progress note,09-06-2025
100470-4,Healthcare navigator Outpatient Progress note,09-06-2025
100471-2,Heart failure Outpatient Progress note,09-06-2025
100472-0,Heart failure+Transplant cardiology Outpatient Progress note,09-06-2025
100473-8,Hematology Outpatient Progress note,09-06-2025
100474-6,Hematology+Medical oncology Outpatient Progress note,09-06-2025
100475-3,Hepatology Outpatient Progress note,09-06-2025
100476-1,Immunology Outpatient Progress note,09-06-2025
100477-9,Infectious disease Outpatient Progress note,09-06-2025
100478-7,Internal medicine Outpatient Progress note,09-06-2025
10047-9,S wave duration in lead AVL,09-06-2025
100479-5,Interventional cardiology Outpatient Progress note,09-06-2025
100480-3,Interventional radiology Outpatient Progress note,09-06-2025
100481-1,Outpatient Mechanical circulatory support Progress note,09-06-2025
100482-9,Medical Aid in Dying Outpatient Progress note,09-06-2025
100483-7,Mental health Outpatient Progress note,09-06-2025
100484-5,Multi-specialty program Outpatient Progress note,09-06-2025
100485-2,Neonatal perinatal medicine Outpatient Progress note,09-06-2025
100486-0,Nephrology Outpatient Progress note,09-06-2025
10048-7,S wave duration in lead AVR,09-06-2025
100487-8,Neurological surgery Outpatient Progress note,09-06-2025
100488-6,Neurology Outpatient Progress note,09-06-2025
100489-4,Neurology with special qualifications in child neurology Outpatient Progress note,09-06-2025
100490-2,Nurse practitioner Outpatient Progress note,09-06-2025
100491-0,Nurse Outpatient Progress note,09-06-2025
100492-8,Nutrition and dietetics Outpatient Progress note,09-06-2025
100493-6,Obstetrics and Gynecology Outpatient Progress note,09-06-2025
100494-4,Obstetrics Outpatient Progress note,09-06-2025
10049-5,S wave duration in lead I,09-06-2025
100495-1,Occupational therapy Outpatient Progress note,09-06-2025
100496-9,Oncology Outpatient Progress note,09-06-2025
100497-7,Ophthalmology Outpatient Progress note,09-06-2025
100498-5,Optometry Outpatient Progress note,09-06-2025
100499-3,Oral and Maxillofacial Surgery Outpatient Progress note,09-06-2025
100500-8,Orthopaedic surgery Outpatient Progress note,09-06-2025
100501-6,Orthotics prosthetics Outpatient Progress note,09-06-2025
100502-4,Otolaryngology Outpatient Progress note,09-06-2025
10050-3,S wave duration in lead II,09-06-2025
100503-2,Pain medicine Outpatient Progress note,09-06-2025
100504-0,Palliative care Outpatient Progress note,09-06-2025
100505-7,Pediatric cardiology Outpatient Progress note,09-06-2025
100506-5,Pediatric dermatology Outpatient Progress note,09-06-2025
100507-3,Pediatric endocrinology Outpatient Progress note,09-06-2025
100508-1,Pediatric gastroenterology Outpatient Progress note,09-06-2025
100509-9,Pediatric hematology-oncology Outpatient Progress note,09-06-2025
100510-7,Pediatric infectious diseases Outpatient Progress note,09-06-2025
10051-1,S wave duration in lead III,09-06-2025
100511-5,Pediatric otolaryngology Outpatient Progress note,09-06-2025
100512-3,Pediatric pulmonology Outpatient Progress note,09-06-2025
100513-1,Pediatric rheumatology Outpatient Progress note,09-06-2025
100514-9,Pediatric surgery Outpatient Progress note,09-06-2025
100515-6,Pediatric transplant hepatology Outpatient Progress note,09-06-2025
100516-4,Pediatric urology Outpatient Progress note,09-06-2025
100517-2,Pharmacogenomics Outpatient Progress note,09-06-2025
100518-0,Physical medicine and rehab Outpatient Progress note,09-06-2025
100519-8,Physical therapy Outpatient Progress note,09-06-2025
100520-6,Plastic surgery Outpatient Progress note,09-06-2025
100521-4,Podiatry Outpatient Progress note,09-06-2025
100522-2,Psychiatry Hospital Progress note,09-06-2025
100523-0,Psychology Outpatient Progress note,09-06-2025
100524-8,Pulmonary Outpatient Progress note,09-06-2025
100525-5,Radiation oncology Outpatient Progress note,09-06-2025
100526-3,Radiology Outpatient Progress note,09-06-2025
100527-1,Recreational therapy Outpatient Progress note,09-06-2025
100528-9,Reproductive endocrinology and infertility Outpatient Progress note,09-06-2025
10052-9,S wave duration in lead V1,09-06-2025
100529-7,Research Outpatient Progress note,09-06-2025
100530-5,Rheumatology Outpatient Progress note,09-06-2025
100531-3,Sleep medicine Outpatient Progress note,09-06-2025
100532-1,Social worker Outpatient Progress note,09-06-2025
100533-9,Solid Organ Transplant Outpatient Progress note,09-06-2025
100534-7,Speech-language pathology Outpatient Progress note,09-06-2025
100535-4,Spinal surgery Outpatient Progress note,09-06-2025
100536-2,Sports medicine Outpatient Progress note,09-06-2025
10053-7,S wave duration in lead V2,09-06-2025
100537-0,Surgery of the hand Outpatient Progress note,09-06-2025
100538-8,Telehealth+Outpatient Progress note,09-06-2025
100539-6,Thromboembolism Outpatient Progress note,09-06-2025
100540-4,Transplant surgery Outpatient Progress note,09-06-2025
100541-2,Trauma Outpatient Progress note,09-06-2025
100542-0,Urology Outpatient Progress note,09-06-2025
100543-8,Vascular neurology Outpatient Progress note,09-06-2025
100544-6,Vascular surgery Outpatient Progress note,09-06-2025
10054-5,S wave duration in lead V3,09-06-2025
100545-3,Wound care management Outpatient Progress note,09-06-2025
100546-1,"Wound, Ostomy, and Continence Care Outpatient Progress note",09-06-2025
100547-9,Adolescent medicine Hospital Progress note,09-06-2025
100548-7,Allergy and Immunology Hospital Progress note,09-06-2025
100549-5,Allergy Hospital Progress note,09-06-2025
100550-3,Attending Hospital Progress note,09-06-2025
100551-1,Audiology Hospital Progress note,09-06-2025
10055-2,S wave duration in lead V4,09-06-2025
100552-9,Bariatric surgery Hospital Progress note,09-06-2025
100553-7,Blood banking and transfusion medicine Hospital Progress note,09-06-2025
100554-5,Bone Marrow Transplant Hospital Progress note,09-06-2025
100555-2,Breastfeeding Hospital Progress note,09-06-2025
100556-0,Burn management Hospital Progress note,09-06-2025
100557-8,Cardiac surgery Hospital Progress note,09-06-2025
100558-6,Cardiopulmonary Hospital Progress note,09-06-2025
100559-4,Child and adolescent psychiatry Hospital Progress note,09-06-2025
10056-0,S wave duration in lead V5,09-06-2025
100560-2,Clinical cardiac electrophysiology Hospital Progress note,09-06-2025
100561-0,Clinical genetics Hospital Progress note,09-06-2025
100562-8,Clinical neurophysiology Hospital Progress note,09-06-2025
100563-6,Clinical pathology Hospital Progress note,09-06-2025
100564-4,Colon and rectal surgery Hospital Progress note,09-06-2025
100565-1,Consultant Hospital Progress note,09-06-2025
100566-9,Dentistry Hospital Progress note,09-06-2025
100567-7,Dermatology Hospital Progress note,09-06-2025
100568-5,Developmental-behavioral pediatrics Hospital Progress note,09-06-2025
100569-3,Dialysis and Therapeutic apheresis Hospital Progress note,09-06-2025
100570-1,Eating disorders Hospital Progress note,09-06-2025
100571-9,Endocrinology Hospital Progress note,09-06-2025
100572-7,Family medicine Hospital Progress note,09-06-2025
100573-5,Gastroenterology Hospital Progress note,09-06-2025
100574-3,General medicine Hospital Progress note,09-06-2025
100575-0,Geriatric medicine Hospital Progress note,09-06-2025
100576-8,Gynecologic oncology Hospital Progress note,09-06-2025
100577-6,Gynecology Hospital Progress note,09-06-2025
10057-8,S wave duration in lead V6,09-06-2025
100578-4,Healthcare navigator Hospital Progress note,09-06-2025
100579-2,Heart failure Hospital Progress note,09-06-2025
1005-8,Indirect antiglobulin test.IgG specific reagent [Presence] in Serum or Plasma,09-06-2025
100580-0,Heart failure+Transplant cardiology Hospital Progress note,09-06-2025
100581-8,Hematology Hospital Progress note,09-06-2025
100582-6,Hematology+Medical oncology Hospital Progress note,09-06-2025
100583-4,Hepatology Hospital Progress note,09-06-2025
100584-2,Immunology Hospital Progress note,09-06-2025
100585-9,Infectious disease Hospital Progress note,09-06-2025
10058-6,S' wave amplitude in lead AVF,09-06-2025
100586-7,Internal medicine Hospital Progress note,09-06-2025
100587-5,Interventional cardiology Hospital Progress note,09-06-2025
100588-3,Interventional radiology Hospital Progress note,09-06-2025
100589-1,Hospital Mechanical circulatory support Progress note,09-06-2025
100590-9,Medical Aid in Dying Hospital Progress note,09-06-2025
100591-7,Mental health Hospital Progress note,09-06-2025
100592-5,Multi-specialty program Hospital Progress note,09-06-2025
100593-3,Neonatal perinatal medicine Hospital Progress note,09-06-2025
10059-4,S' wave amplitude in lead AVL,09-06-2025
100594-1,Nephrology Hospital Progress note,09-06-2025
100595-8,Neurological surgery Hospital Progress note,09-06-2025
100596-6,Neurology Hospital Progress note,09-06-2025
100597-4,Neurology with special qualifications in child neurology Hospital Progress note,09-06-2025
100598-2,Nurse practitioner Hospital Progress note,09-06-2025
100599-0,Nurse Hospital Progress note,09-06-2025
100600-6,Nutrition and dietetics Hospital Progress note,09-06-2025
100601-4,Obstetrics and Gynecology Hospital Progress note,09-06-2025
10060-2,S' wave amplitude in lead AVR,09-06-2025
100602-2,Obstetrics Hospital Progress note,09-06-2025
100603-0,Occupational therapy Hospital Progress note,09-06-2025
100604-8,Oncology Hospital Progress note,09-06-2025
100605-5,Ophthalmology Hospital Progress note,09-06-2025
100606-3,Oral and Maxillofacial Surgery Hospital Progress note,09-06-2025
100607-1,Orthopaedic surgery Hospital Progress note,09-06-2025
100608-9,Orthotics prosthetics Hospital Progress note,09-06-2025
100609-7,Otolaryngology Hospital Progress note,09-06-2025
10061-0,S' wave amplitude in lead I,09-06-2025
100610-5,Pain medicine Hospital Progress note,09-06-2025
100611-3,Palliative care Hospital Progress note,09-06-2025
100612-1,Pastoral care Hospital Progress note,09-06-2025
100613-9,Pediatric cardiology Hospital Progress note,09-06-2025
100614-7,Pediatric dermatology Hospital Progress note,09-06-2025
100615-4,Pediatric endocrinology Hospital Progress note,09-06-2025
100616-2,Pediatric gastroenterology Hospital Progress note,09-06-2025
100617-0,Pediatric hematology-oncology Hospital Progress note,09-06-2025
100618-8,Pediatric infectious diseases Hospital Progress note,09-06-2025
100619-6,Pediatric otolaryngology Hospital Progress note,09-06-2025
100620-4,Pediatric pulmonology Hospital Progress note,09-06-2025
100621-2,Pediatric rheumatology Hospital Progress note,09-06-2025
100622-0,Pediatric surgery Hospital Progress note,09-06-2025
100623-8,Pediatric transplant hepatology Hospital Progress note,09-06-2025
100624-6,Pharmacogenomics Hospital Progress note,09-06-2025
100625-3,Pharmacology Hospital Progress note,09-06-2025
100626-1,Physical medicine and rehab Hospital Progress note,09-06-2025
100627-9,Physical therapy Hospital Progress note,09-06-2025
10062-8,S' wave amplitude in lead II,09-06-2025
100628-7,Plastic surgery Hospital Progress note,09-06-2025
100629-5,Podiatry Hospital Progress note,09-06-2025
100630-3,Psychology Hospital Progress note,09-06-2025
100631-1,Radiation oncology Hospital Progress note,09-06-2025
100632-9,Radiology Hospital Progress note,09-06-2025
100633-7,Rapid response team Hospital Progress note,09-06-2025
100634-5,Recreational therapy Hospital Progress note,09-06-2025
100635-2,Reproductive endocrinology and infertility Hospital Progress note,09-06-2025
10063-6,S' wave amplitude in lead III,09-06-2025
100636-0,Research Hospital Progress note,09-06-2025
100637-8,Rheumatology Hospital Progress note,09-06-2025
100638-6,Sleep medicine Hospital Progress note,09-06-2025
100639-4,Social worker Hospital Progress note,09-06-2025
100640-2,Solid Organ Transplant Hospital Progress note,09-06-2025
100641-0,Speech-language pathology Hospital Progress note,09-06-2025
100642-8,Spinal surgery Hospital Progress note,09-06-2025
100643-6,Surgery of the hand Hospital Progress note,09-06-2025
10064-4,S' wave amplitude in lead V1,09-06-2025
100644-4,Thromboembolism Hospital Progress note,09-06-2025
100645-1,Trauma Hospital Progress note,09-06-2025
100646-9,Urology Hospital Progress note,09-06-2025
100647-7,Vascular neurology Hospital Progress note,09-06-2025
100648-5,Vascular surgery Hospital Progress note,09-06-2025
100649-3,Wound care management Hospital Progress note,09-06-2025
100650-1,"Wound, Ostomy, and Continence Care Hospital Progress note",09-06-2025
10065-1,S' wave amplitude in lead V2,09-06-2025
100651-9,Hospital COVID-19 Intubation Progress note,09-06-2025
100652-7,Pure tone bone conduction threshold audiometry panel,09-06-2025
100653-5,Pure tone air conduction threshold audiometry panel,09-06-2025
100654-3,Pyruvate kinase M2 [Presence] in Stool,09-06-2025
100655-0,XR Sella turcica Lateral,09-06-2025
100656-8,Maternal and fetal medicine Outpatient Progress note,09-06-2025
100657-6,Maternal and fetal medicine Telephone encounter+Hospital Progress note,09-06-2025
100658-4,Hospital COVID-19 Progress note,09-06-2025
100659-2,Maternal and fetal medicine Hospital Progress note,09-06-2025
1006-6,Direct antiglobulin test.IgG specific reagent [Interpretation] on Red Blood Cells,09-06-2025
100660-0,Maternal and fetal medicine Telephone encounter+Outpatient Progress note,09-06-2025
100661-8,Psychiatry Outpatient Progress note,09-06-2025
100662-6,Cortisol free and total panel - Serum or Plasma,09-06-2025
100663-4,TPMT gene c.460G>A and c.719A>G [Presence] in Blood by Molecular genetics method,09-06-2025
100664-2,NUDT15 gene c.50_55dup and c.415C>T [Presence] in Blood by Molecular genetics method,09-06-2025
100665-9,NUDT15 gene c.415C>T [Presence] in Blood by Molecular genetics method,09-06-2025
100666-7,NUDT15 gene c.416G>A [Presence] in Blood by Molecular genetics method,09-06-2025
100667-5,NUDT15 gene c.52G>A [Presence] in Blood by Molecular genetics method,09-06-2025
100668-3,NUDT15 gene c.50_55dup [Presence] in Blood by Molecular genetics method,09-06-2025
10066-9,S' wave amplitude in lead V3,09-06-2025
100669-1,NUDT15 gene c.50_55del [Presence] in Blood by Molecular genetics method,09-06-2025
100670-9,RHD gene allele [Identifier] in Plasma cell-free DNA Nominal--fetus,09-06-2025
100671-7,Aspergillus sp DNA [Presence] in Blood by NAA with probe detection,09-06-2025
100672-5,Aspergillus fumigatus DNA [Presence] in Blood by NAA with probe detection,09-06-2025
100673-3,Aspergillus terreus DNA [Presence] in Blood by NAA with probe detection,09-06-2025
100674-1,BK virus DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,09-06-2025
100675-8,Cytomegalovirus DNA [Units/volume] (viral load) in Blood by NAA with probe detection,09-06-2025
100676-6,Cytomegalovirus DNA [log units/volume] (viral load) in Blood by NAA with probe detection,09-06-2025
10067-7,S' wave amplitude in lead V4,09-06-2025
100677-4,Epstein Barr virus DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,09-06-2025
100678-2,Epstein Barr virus DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,09-06-2025
100679-0,Herpes virus 6 DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,09-06-2025
100680-8,Herpes virus 6 DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,09-06-2025
100681-6,Herpes virus 7 DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,09-06-2025
100682-4,Herpes virus 7 DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,09-06-2025
100683-2,Herpes virus 8 DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,09-06-2025
100684-0,Herpes virus 8 DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,09-06-2025
10068-5,S' wave amplitude in lead V5,09-06-2025
100685-7,JC virus DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,09-06-2025
100686-5,JC virus DNA [Log #/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection,09-06-2025
100687-3,JC virus DNA [Log #/volume] (viral load) in Urine by NAA with probe detection,09-06-2025
100688-1,Parvovirus B19 DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,09-06-2025
100689-9,Toxoplasma gondii DNA [Log #/volume] in Serum or Plasma by NAA with probe detection,09-06-2025
100690-7,Toxoplasma gondii DNA [Log #/volume] in Cerebral spinal fluid by NAA with probe detection,09-06-2025
100691-5,Varicella zoster virus DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,09-06-2025
100692-3,Varicella zoster virus DNA [Log #/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection,09-06-2025
10069-3,S' wave amplitude in lead V6,09-06-2025
100693-1,Pneumocystis jirovecii DNA [Log #/volume] in Respiratory system specimen by NAA with probe detection,09-06-2025
100694-9,SMN1 gene silent carrier analysis [Presence] in Blood or Tissue by Molecular genetics method,09-06-2025
100695-6,Genetic disease analysis overall carrier interpretation in Blood or Tissue by Molecular genetics method Narrative,09-06-2025
100696-4,CTNS related multigene analysis [Identifier] in Bodyfluid and Serum or Plasma by Molecular genetics method Nominal,09-06-2025
100697-2,Interventional radiology Outpatient Note,09-06-2025
100698-0,Social Determinants of Health screening report Document,09-06-2025
100699-8,Rifabutin+Ethambutol [Susceptibility],09-06-2025
100700-4,Trichomonas vaginalis DNA [Presence] in Urethra by NAA with probe detection,09-06-2025
10070-1,S' wave duration in lead AVF,09-06-2025
100701-2,Trichomonas vaginalis rRNA [Presence] in Urethra by NAA with probe detection,09-06-2025
100702-0,Mycoplasma genitalium rRNA [Presence] in Urethra by NAA with probe detection,09-06-2025
100703-8,Mycoplasma genitalium rRNA [Presence] in Urine by NAA with probe detection,09-06-2025
100704-6,Mycoplasma genitalium rRNA [Presence] in Cervix by NAA with probe detection,09-06-2025
100705-3,Mycoplasma genitalium rRNA [Presence] in Anorectal by NAA with probe detection,09-06-2025
100706-1,Mycoplasma genitalium rRNA [Presence] in Specimen by NAA with probe detection,09-06-2025
100707-9,Granulocytes [#/volume] in Peritoneal dialysis fluid by Automated count,09-06-2025
100708-7,Plasma cells/Leukocytes in Synovial fluid,09-06-2025
100709-5,Hepatocellular carcinoma risk [Score] by GAAD,09-06-2025
100710-3,Chlamydia trachomatis and Neisseria gonorrhoeae rRNA panel - Throat by NAA with probe detection,09-06-2025
100711-1,Borrelia burgdorferi.VlsE1+pepC10 Ab [Units/volume] in Serum by Immunoassay,09-06-2025
100712-9,Brexpiprazole [Mass/volume] in Serum or Plasma,09-06-2025
100713-7,Cariprazine [Mass/volume] in Serum or Plasma,09-06-2025
100714-5,Guanfacine [Mass/volume] in Serum or Plasma,09-06-2025
100715-2,Prothipendyl [Mass/volume] in Serum or Plasma,09-06-2025
100716-0,Prostate specific Ag [Mass/volume] in DBS,09-06-2025
100717-8,FCGR3A gene.p.Phe176Val [Presence] in Blood or Tissue by Molecular genetics method,09-06-2025
100718-6,Undersea and hyperbaric medicine Discharge summary,09-06-2025
10071-9,S' wave duration in lead AVL,09-06-2025
100719-4,Surgical oncology Discharge summary,09-06-2025
100720-2,Reproductive endocrinology and infertility Discharge summary,09-06-2025
100721-0,Community health care Discharge summary,09-06-2025
100722-8,Integrative medicine Discharge summary,09-06-2025
100723-6,Sports medicine Discharge summary,09-06-2025
100724-4,Diabetology Discharge summary,09-06-2025
100725-1,Optometry Discharge summary,09-06-2025
100726-9,Podiatry Discharge summary,09-06-2025
10072-7,S' wave duration in lead AVR,09-06-2025
100727-7,Chiropractic medicine Discharge summary,09-06-2025
100728-5,Cardiac surgery Discharge summary,09-06-2025
100729-3,Breastfeeding Discharge summary,09-06-2025
100730-1,Transplant surgery Discharge summary,09-06-2025
100731-9,Urgent care center Discharge summary,09-06-2025
100732-7,Cholesterol.in lipoprotein (little a) and Cholesterol.in LDL panel - Serum,09-06-2025
100733-5,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),09-06-2025
100734-3,traMADol and Metabolites Panel - Urine by Confirmatory method,09-06-2025
10073-5,S' wave duration in lead I,09-06-2025
100735-0,Mannose-6-phosphate isomerase and phosphomannomutase 1 panel - Leukocytes,09-06-2025
100736-8,Acylcarnitine Analysis Post Mortem in Specimen Document,09-06-2025
100737-6,Alkaline phosphatase.macromolecular [Presence] in Serum or Plasma,09-06-2025
100738-4,Alanine aminotransferase.macromolecular [Presence] in Serum or Plasma,09-06-2025
100739-2,Aspartate aminotransferase.macromolecular [Presence] in Serum or Plasma,09-06-2025
1007-4,Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells,09-06-2025
100740-0,Amylase.macromolecular [Presence] in Serum or Plasma,09-06-2025
100741-8,Gamma glutamyl transferase.macromolecular [Presence] in Serum or Plasma,09-06-2025
100742-6,Lactate dehydrogenase.macromolecular [Presence] in Serum or Plasma,09-06-2025
10074-3,S' wave duration in lead II,09-06-2025
100743-4,Lipase.macromolecular [Presence] in Serum or Plasma,09-06-2025
100744-2,Alpha-1-acid glycoprotein [Mass/volume] in Serum or Plasma by Electrophoresis,09-06-2025
100745-9,Chloride [Moles/volume] in Mixed venous blood,09-06-2025
100746-7,Glucose [Moles/volume] in Mixed venous blood,09-06-2025
100747-5,Legionella serogroup panel - Specimen,09-06-2025
100748-3,Legionella spp [Presence] in Specimen by NAA with probe detection,09-06-2025
100749-1,Legionella pneumophila serogroup 1 [Presence] in Specimen by NAA with probe detection,09-06-2025
10075-0,S' wave duration in lead III,09-06-2025
100750-9,Legionella pneumophila non-serogroup 1 [Presence] in Specimen by NAA with probe detection,09-06-2025
100751-7,"Galactose-alpha-1,3-galactose (Alpha-Gal) panel - Serum or Plasma",09-06-2025
100752-5,Exacerbating factors - Reported,09-06-2025
100753-3,Alleviating factors - Reported,09-06-2025
100754-1,Platelet disorders multigene analysis in Blood or Tissue by Sequencing,09-06-2025
100755-8,Oligoclonal bands [#] in Serum or Plasma by Isoelectric focusing,09-06-2025
100756-6,Oligoclonal bands [Interpretation] in Cerebral spinal fluid by Isoelectric focusing,09-06-2025
100757-4,Protein fractions.oligoclonal bands panel - Serum and CSF by Isoelectric focusing,09-06-2025
100758-2,Estimated lung age by based on clinical data,09-06-2025
100759-0,Inspiratory reserve [Volume] Respiratory system by Spirometry,09-06-2025
100760-8,XR Radius and Ulna - left Single view,09-06-2025
100761-6,PALB2 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method,09-06-2025
100762-4,HBA2 gene.c.377T>C [Presence] in Blood by Molecular genetics method,09-06-2025
100763-2,Mycobacterium sp comparative reaction interpretation Narrative,09-06-2025
100764-0,Mycobacterium bovis reaction wheal [Diameter] Qualitative --3 days post dose mammalian tuberculin intradermal,09-06-2025
100765-7,Homocysteine and methylmalonate and methylcitrate panel - DBS,09-06-2025
100766-5,Center for Epidemiologic Studies Depression Scale panel [CES-D],09-06-2025
